Author,Site,Text
David Smooke,https://hackernoon.com/,"“Google Cloud Platform and Firebase give Hacker Noon the flexibility to craft a custom publishing platform optimized for technologists,” said Hacker Noon Interim CTO Dane Lyons"
David Smooke,https://hackernoon.com/," “Our serverless infrastructure will generate static content and pipe it into the low latency, low-cost Google Cloud CDN"
David Smooke,https://hackernoon.com/, We’re excited to focus on important product details and worry less about devops and cost optimizations
David Smooke,https://hackernoon.com/,”
David Smooke,https://hackernoon.com/,"As a startup working to free ourselves from platform dependency, it’s humbling to have Google support our own infrastructure"
David Smooke,https://hackernoon.com/," These resources make our future more secure, our monthly burn rate more manageable, and ultimately provide a stronger partner for serving high volumes of traffic in the long-term"
David Smooke,https://hackernoon.com/, We’re very excited about launching the next iteration of Hacker Noon with Google Cloud Platform and Firebase!
David Smooke,https://hackernoon.com/,Deploy A Backend App As An Android Engineer (& Part 2) by Adam Hurwitz
David Smooke,https://hackernoon.com/,Android App Architectures: Example of MVP with Kotlin by Rohit Surwase
David Smooke,https://hackernoon.com/,Can Google’s AI Make Better AI Than the Googlers? by The Next Web
David Smooke,https://hackernoon.com/,Google’s AI Based AutoDraw Turns Your Rough Scribbles Into Beautiful Icons For Free by Vinoth George
David Smooke,https://hackernoon.com/,Chrome Extension Development: Lessons Learned by Sam Jarman
David Smooke,https://hackernoon.com/,Optical Character Recognition With Google Cloud Vision API by Evelyn Chan
David Smooke,https://hackernoon.com/,"Launch a GPU-backed Google Compute Engine instance and setup Tensorflow, Keras and Jupyter by Steve Domin"
David Smooke,https://hackernoon.com/,Google Search Analysis: Rich Search Results and Structured Data by Garrett Vorce
David Smooke,https://hackernoon.com/,The Art of Searching something on the Internet
David Smooke,https://hackernoon.com/, by Vikas Yadav
David Smooke,https://hackernoon.com/,Building Google’s Art and Culture Portrait Matcher by Grant Holtes
David Smooke,https://hackernoon.com/,70% of People Worry About Fake News — And How Google Combats It by Chhavi Shrivastava
David Smooke,https://hackernoon.com/,Getting Started with Firebase ML for iOS by Mohammad Azam
David Smooke,https://hackernoon.com/,Firebase to the Rescue: Dynamic Routing via Hosting + Functions Integration by Peter LoBue
David Smooke,https://hackernoon.com/,How to Build a Product Loved by Millions and Get Acquired by Google: The Firebase Story by Founder Collective
David Smooke,https://hackernoon.com/,Infinite Scrolling In Firebase by Linas M
David Smooke,https://hackernoon.com/,Introduction to Firebase by GeekyAnts
David Smooke,https://hackernoon.com/,Prototyping with Firebase by David Kerr
David Smooke,https://hackernoon.com/,Flutter — 5 reasons why you may love it by Paulina Szklarska
David Smooke,https://hackernoon.com/,I love you Flutter by Shalom Yerushalmy
David Smooke,https://hackernoon.com/,What are the Google Cloud Platform (GCP) Services? by Reto Meier
David Smooke,https://hackernoon.com/,An actionable checklist to being a Google Summer of Code student by Chhavi Shrivastava
David Smooke,https://hackernoon.com/,My (slightly unconventional) path to a Google Internship by Abhimanyu
David Smooke,https://hackernoon.com/,This Student Talked His Way Into The Googleplex Through Courageous Networking by John Greathouse
David Smooke,https://hackernoon.com/,Deep Reinforcement Learning in Robotics using Vision by SAGAR SHARMA
David Smooke,https://hackernoon.com/,Acing Your Product Manager Interview by David E
David Smooke,https://hackernoon.com/, Weekly
David Smooke,https://hackernoon.com/,Interview Questions Deconstructed: The Knight’s Dialer by Alex Golec
